"","Nomecientifico","diametro_cm","altura_m","especie"
"1","Sebastiania commersoniana",52.2,15.2,0
"2","Sebastiania commersoniana",95,17.3,0
"3","Sebastiania commersoniana",67.3,16.3,0
"4","Sebastiania commersoniana",46.3,14,0
"5","Sebastiania commersoniana",64.1,15,0
"6","Sebastiania commersoniana",122,22,0
"7","Sebastiania commersoniana",114.5,19.2,0
"8","Sebastiania commersoniana",58.3,15.6,0
"9","Sebastiania commersoniana",90.4,17.5,0
"10","Sebastiania commersoniana",65.3,16.3,0
"11","Sebastiania commersoniana",92.3,19.1,0
"12","Sebastiania commersoniana",104,19.9,0
"13","Sebastiania commersoniana",59.4,15.6,0
"14","Sebastiania commersoniana",54.7,14.4,0
"15","Sebastiania commersoniana",105,19.2,0
"16","Sebastiania commersoniana",113.8,19.2,0
"17","Sebastiania commersoniana",114.5,19.1,0
"18","Sebastiania commersoniana",78.9,16.2,0
"19","Sebastiania commersoniana",76.8,17.2,0
"20","Sebastiania commersoniana",55.2,16.4,0
"21","Sebastiania commersoniana",58.5,17,0
"22","Sebastiania commersoniana",86.5,18.1,0
"23","Sebastiania commersoniana",105.2,20.4,0
"24","Sebastiania commersoniana",49.7,15.2,0
"25","Sebastiania commersoniana",59.6,15.7,0
"26","Sebastiania commersoniana",45,14.3,0
"27","Sebastiania commersoniana",64.5,16.3,0
"28","Sebastiania commersoniana",86.7,20.2,0
"29","Sebastiania commersoniana",115.4,18.6,0
"30","Sebastiania commersoniana",80.8,17.6,0
"31","Sebastiania commersoniana",72.5,15.1,0
"32","Sebastiania commersoniana",91.2,17.8,0
"33","Sebastiania commersoniana",55.1,14.2,0
"34","Sebastiania commersoniana",82.3,18.6,0
"35","Sebastiania commersoniana",103,19.2,0
"36","Sebastiania commersoniana",77.5,17,0
"37","Sebastiania commersoniana",88.2,17.5,0
"38","Sebastiania commersoniana",42.6,14.8,0
"39","Sebastiania commersoniana",84.4,17,0
"40","Sebastiania commersoniana",59.7,17.6,0
"41","Sebastiania commersoniana",60.5,17.7,0
"42","Sebastiania commersoniana",69.5,16,0
"43","Sebastiania commersoniana",39.5,15,0
"44","Sebastiania commersoniana",34.6,14.8,0
"45","Sebastiania commersoniana",34.5,14.8,0
"46","Sebastiania commersoniana",105.5,18.5,0
"47","Sebastiania commersoniana",118.1,20.3,0
"48","Sebastiania commersoniana",119.8,21.4,0
"49","Sebastiania commersoniana",81.5,17,0
"50","Sebastiania commersoniana",90.5,17.1,0
"51","Sebastiania commersoniana",127.5,21,0
"52","Sebastiania commersoniana",79.5,16,0
"53","Sebastiania commersoniana",79,16,0
"54","Sebastiania commersoniana",86.2,18.5,0
"55","Sebastiania commersoniana",98,17.9,0
"56","Sebastiania commersoniana",75.5,17,0
"57","Sebastiania commersoniana",65.9,17.2,0
"58","Sebastiania commersoniana",120,20.8,0
"59","Sebastiania commersoniana",85.6,16.6,0
"60","Sebastiania commersoniana",75.5,17,0
"61","Sebastiania commersoniana",75,16,0
"62","Sebastiania commersoniana",106.8,17.8,0
"63","Sebastiania commersoniana",58.5,16,0
"64","Sebastiania commersoniana",82.6,17.1,0
"65","Sebastiania commersoniana",94,18.5,0
"66","Sebastiania commersoniana",56.6,14.5,0
"67","Sebastiania commersoniana",96,19,0
"68","Sebastiania commersoniana",125.4,20,0
"69","Siphoneugena reitzii",91.3,17.1,1
"70","Siphoneugena reitzii",68.5,13,1
"71","Siphoneugena reitzii",61.5,16.5,1
"72","Siphoneugena reitzii",72.8,17.5,1
"73","Siphoneugena reitzii",85.8,17.7,1
"74","Syphoneugena reitzii",70.6,17.7,1
"75","Syphoneugena reitzii",52.5,13.6,1
"76","Syphoneugena reitzii",55.5,13.4,1
"77","Syphoneugena reitzii",106.5,15.6,1
"78","Syphoneugena reitzii",108,17.1,1
"79","Syphoneugena reitzii",60.6,12.5,1
"80","Syphoneugena reitzii",52.5,14.6,1
"81","Syphoneugena reitzii",63.7,15.3,1
"82","Syphoneugena reitzii",78.8,15.4,1
"83","Syphoneugena reitzii",30.5,14,1
"84","Syphoneugena reitzii",47.7,14.9,1
"85","Syphoneugena reitzii",134.9,17,1
"86","Syphoneugena reitzii",64,15.2,1
"87","Syphoneugena reitzii",42.5,11.8,1
"88","Syphoneugena reitzii",38.2,13,1
"89","Syphoneugena reitzii",132,16.1,1
"90","Syphoneugena reitzii",37,13,1
"91","Syphoneugena reitzii",53.5,17,1
"92","Syphoneugena reitzii",81,16.4,1
"93","Syphoneugena reitzii",101.8,16.7,1
"94","Syphoneugena reitzii",161,17,1
"95","Syphoneugena reitzii",62.9,15.9,1
"96","Syphoneugena reitzii",34.1,11.7,1
"97","Syphoneugena reitzii",79,14.1,1
"98","Syphoneugena reitzii",60,13.6,1
"99","Syphoneugena reitzii",40.6,14.6,1
"100","Syphoneugena reitzii",82.5,17.4,1
"101","Syphoneugena reitzii",112.6,17.9,1
"102","Syphoneugena reitzii",50,13.2,1
"103","Syphoneugena reitzii",64.9,13,1
"104","Syphoneugena reitzii",72,16.7,1
"105","Syphoneugena reitzii",85.7,16.5,1
